ID,CLASSIFIED,TYPE,SUMMARY,,,,,,,,,,,,
HTTPCLIENT-1066,NUG,BUG,HTTPClient 4.1 auto slash removal,,,,,,,,,,,,TYPE
HTTPCLIENT-1111,NUG,NUG,Setting SSLSocket parameters,,,,,,,,,,,,BUG
HTTPCLIENT-222,NUG,BUG,Via NTLM proxy to SSL Apache BasicAuth. - worked in may 22nd but broken in beta1,,,,,,,,,,,,NUG
HTTPCLIENT-381,NUG,BUG,HttpState PREEMPTIVE PROPERTY removed.,,,,,,,,,,,,0
HTTPCLIENT-692,NUG,NUG,ClientConnectionManager should throw InterruptedException,,,,,,,,,,,,
HTTPCLIENT-1001,BUG,BUG,CacheEntryUpdater does not properly update cache entry resource,,,,,,,,,,,,
HTTPCLIENT-1002,BUG,BUG,Stale connections are never detected when wireLog.isDebugEnabled true,,,,,,,,,,,,
HTTPCLIENT-1009,BUG,BUG,http client cache SizeLimitedResponseReader is not setting content type for InputStreamEntity in constructResponse,,,,,,,,,,,,
HTTPCLIENT-1011,BUG,NUG,CachingHttpClient.execute does not catch the IOException thrown by HttpCache.getCacheEntry,,,,,,,,,,,,
HTTPCLIENT-1024,BUG,BUG,cache does not validate multiple cached variants,,,,,,,,,,,,
HTTPCLIENT-103,BUG,BUG,ChunkedInputStream incorrectly handles chunksize without semicolon,,,,,,,,,,,,
HTTPCLIENT-1031,BUG,BUG,Cannot clone BasicClientCookie2 without specified ports,,,,,,,,,,,,
HTTPCLIENT-1038,BUG,BUG,AbstractHttpClient.determineTarget HttpUriRequest,,,,,,,,,,,,
HTTPCLIENT-1039,BUG,BUG,AbstractHttpClient.determineTarget does not recognize target host correctly,,,,,,,,,,,,
HTTPCLIENT-1041,BUG,BUG,Enabling wire logging changes isEof isStale behavior,,,,,,,,,,,,
HTTPCLIENT-1045,BUG,BUG,HttpGet request not being created when parameter url is present,,,,,,,,,,,,
HTTPCLIENT-105,BUG,BUG,ChunkedInputStream broken 2 bugs fixes 1 suggestion,,,,,,,,,,,,
HTTPCLIENT-1051,BUG,BUG,SSL connections cannot be established using resolvable IP address,,,,,,,,,,,,
HTTPCLIENT-1053,BUG,BUG,Security issue - DigestScheme uses constant nonce count value,,,,,,,,,,,,
HTTPCLIENT-1056,BUG,BUG,Wrong creation of AuthScope object,,,,,,,,,,,,
HTTPCLIENT-1058,BUG,BUG,SO TIMEOUT not set early enough for SOCKS proxies in PlainSocketFactory,,,,,,,,,,,,
HTTPCLIENT-1061,BUG,BUG,Proxy-Authorization header received on server side,,,,,,,,,,,,
HTTPCLIENT-1069,BUG,BUG,HttpClient 4.1 ignores request retry handler and stops retrying when a read timeout is followed by a connection refusal,,,,,,,,,,,,
HTTPCLIENT-107,BUG,BUG,HttpMethodBase Port mismatch in URL for redirect to absolute location,,,,,,,,,,,,
HTTPCLIENT-1073,BUG,BUG,cache module generates exceptions for non-compliant responses without consuming response bodies,,,,,,,,,,,,
HTTPCLIENT-1075,BUG,BUG,ContentEncodingHttpClient.execute HttpGet ResponseHandler throws IOException when reading compressed response,,,,,,,,,,,,
HTTPCLIENT-1078,BUG,BUG,DecompressingEntity not calling close on InputStream retrieved by getContent,,,,,,,,,,,,
HTTPCLIENT-1079,BUG,BUG,Kerberos cross-realm support is broken,,,,,,,,,,,,
